Date,Close,10ma_IN,20ma_IN,+2sigma_IN,-2sigma_IN,%DR,DR_ma,High_IN,Low_IN,Vol_IN,Vol_MA_IN,Target,Entry,Stop_Loss,MA_Exit_Date,MA_on_Exit,20ma_OUT,+2sigma_OUT,-2sigma_OUT,Duration,Close_OUT,High_OUT,Low_OUT,Vol_OUT,GL_on_MA,GL_MA_Money,GL_MA_%,SS_IN,HLS_IN,GL_Success,Above_Vol_Ma,10_above_20,Close_above_2s,DR_above_DRma,DR_ma_up
2014-12-05,64.04,63.975,63.863,64.858,62.868,0.25,0.112,64.43,63.85,759600,1128330.0,67.242,64.04,60.838,2014-12-08,64.012,63.911,64.821,63.001,3 days 00:00:00.000000000,63.97,65.36,63.46,1091500,-0.028,-2.8,-0.044,1.989,0.58,0,0,1,0,1,1
2014-12-09,64.21,64.016,63.95,64.84,63.061,0.375,0.009,64.47,62.92,835200,1074645.0,67.42,64.21,60.999,2014-12-10,63.968,63.924,64.946,62.902,1 days 00:00:00.000000000,62.53,64.13,62.35,853900,-0.242,-24.2,-0.377,1.778,1.55,0,0,1,0,1,1
2014-12-18,63.73,62.823,63.364,65.46,61.269,2.099,-0.009,63.76,63.03,1660300,1137895.0,66.916,63.73,60.544,2014-12-31,64.794,63.907,66.839,60.975,13 days 00:00:00.000000000,64.66,65.9,64.62,960700,1.064,106.4,1.67,4.191,0.73,1,1,0,0,1,0
2015-01-08,65.6,64.958,64.015,67.087,60.944,2.197,0.051,65.72,64.51,948300,1151215.0,68.88,65.6,62.32,2015-01-12,64.851,64.209,67.213,61.206,4 days 00:00:00.000000000,64.79,65.5,64.43,843700,-0.749,-74.9,-1.142,6.142,1.21,0,0,1,0,1,1
2015-01-13,65.27,64.768,64.401,67.137,61.665,0.741,-0.12,66.36,64.61,1305300,1147775.0,68.533,65.27,62.006,2015-01-14,64.686,64.555,66.951,62.16,1 days 00:00:00.000000000,64.68,65.49,64.28,1025600,-0.584,-58.4,-0.895,5.472,1.75,0,1,1,0,1,0
2015-01-16,65.59,64.683,64.869,66.26,63.478,2.372,0.095,65.71,63.84,1250800,1111735.0,68.869,65.59,62.31,2015-01-30,66.666,65.646,68.305,62.988,14 days 00:00:00.000000000,66.35,67.17,65.94,1796600,1.076,107.6,1.64,2.781,1.87,1,1,0,0,1,1
2015-02-03,67.27,67.01,65.886,68.549,63.224,0.809,0.355,67.46,66.6,1659000,1256170.0,70.633,67.27,63.906,2015-02-04,67.132,66.049,68.492,63.607,1 days 00:00:00.000000000,66.78,67.6,66.54,1402600,-0.138,-13.8,-0.205,5.325,0.86,0,1,1,0,1,1
2015-02-06,67.72,67.166,66.296,68.688,63.905,1.06,0.078,68.4,66.94,1602400,1344865.0,71.106,67.72,64.334,2015-02-09,67.041,66.392,68.71,64.075,3 days 00:00:00.000000000,66.87,67.7,66.46,1614500,-0.679,-67.9,-1.003,4.784,1.46,0,1,1,0,1,1
2015-02-10,67.41,67.029,66.524,68.754,64.293,0.808,-0.014,67.53,66.39,3414900,1496080.0,70.781,67.41,64.04,2015-03-03,72.163,70.148,74.88,65.416,21 days 00:00:00.000000000,71.92,71.97,71.49,1279100,4.753,475.3,7.051,4.461,1.14,1,1,1,0,1,0
2015-03-05,72.51,72.418,70.666,75.019,66.313,0.848,0.177,72.59,71.84,1139800,1782850.0,76.136,72.51,68.885,2015-03-06,72.207,70.814,74.833,66.795,1 days 00:00:00.000000000,69.97,72.25,69.68,1953800,-0.303,-30.3,-0.418,8.707,0.75,0,0,1,0,1,1
2015-03-16,71.57,70.858,71.402,73.759,69.045,1.691,-0.102,71.63,70.88,1393200,1467995.0,75.148,71.57,67.991,2015-03-25,72.375,71.835,74.673,68.996,9 days 00:00:00.000000000,72.3,74.23,72.29,1417800,0.805,80.5,1.125,4.714,0.75,1,0,0,0,1,0
2015-03-27,73.28,72.807,71.873,74.761,68.985,1.313,0.413,73.6,72.29,985300,1506190.0,76.944,73.28,69.616,2015-04-01,73.387,72.082,75.217,68.946,5 days 00:00:00.000000000,73.0,73.27,71.94,1812200,0.107,10.7,0.146,5.777,1.31,1,0,1,0,1,1
2015-04-06,73.4,73.249,72.266,75.295,69.237,0.866,-0.04,73.69,71.71,1180900,1459520.0,77.07,73.4,69.73,2015-04-07,73.087,72.384,75.236,69.531,1 days 00:00:00.000000000,72.45,73.65,72.45,980200,-0.313,-31.3,-0.426,6.058,1.98,0,0,1,0,1,0
2015-04-08,73.22,73.012,72.563,75.123,70.003,1.063,-0.095,73.37,72.61,1444900,1429330.0,76.881,73.22,69.559,2015-04-15,73.541,73.396,75.088,71.704,7 days 00:00:00.000000000,72.98,74.41,72.91,1514700,0.321,32.1,0.438,5.12,0.76,1,1,1,0,1,0
